#solverIteratedLocal	
#Instance	Iteration	Segments	Edges	Vertices	Max k	Time	Solution value	Upper bound value	
skyline_sydney-edges-50-int-42	2	172	6012	2970	20	5106053212	48502.882145	
skyline_sydney-edges-50-int-42	2	172	6012	2970	25	8255124819	65375.164079	
skyline_sydney-edges-50-int-42	2	172	6012	2970	30	14330795821	79540.244853	
ic_die25-edges-50-int-42	0	135	4087	2026	5	38930260	2453.737057	
ic_die25-edges-50-int-42	0	135	4087	2026	10	306109570	6015.839796	
ic_die25-edges-50-int-42	0	135	4087	2026	15	718594597	9657.301276	
ic_die25-edges-50-int-42	0	135	4087	2026	20	3838967113	14535.066577	
ic_die25-edges-50-int-42	0	135	4087	2026	25	5181692167	19099.227097	
ic_die25-edges-50-int-42	0	135	4087	2026	30	7694195976	23305.721078	
ic_die25-edges-50-int-42	1	148	4926	2439	5	52730690	2453.737057	
ic_die25-edges-50-int-42	1	148	4926	2439	10	530559886	5879.478111	
ic_die25-edges-50-int-42	1	148	4926	2439	15	3442782326	10894.329598	
ic_die25-edges-50-int-42	1	148	4926	2439	20	6787281705	15395.584567	
ic_die25-edges-50-int-42	1	148	4926	2439	25	11014501974	19981.538316	
ic_die25-edges-50-int-42	1	148	4926	2439	30	18096641368	24083.880498	
ic_die25-edges-50-int-42	2	172	6324	3126	5	67787023	2436.536811	
ic_die25-edges-50-int-42	2	172	6324	3126	10	1560627102	7033.578679	
ic_die25-edges-50-int-42	2	172	6324	3126	15	5197321835	11864.896822	
ic_die25-edges-50-int-42	2	172	6324	3126	20	10305870123	16663.869894	
ic_die25-edges-50-int-42	2	172	6324	3126	25	16523874160	22691.917438	
ic_die25-edges-50-int-42	2	172	6324	3126	30	25180352101	28487.940412	
skyline_new_york-edges-50-int-42	0	135	4063	2014	5	52037704	11212.888685	
skyline_new_york-edges-50-int-42	0	135	4063	2014	10	539350919	31512.136209	
skyline_new_york-edges-50-int-42	0	135	4063	2014	15	2760491510	53114.075128	
skyline_new_york-edges-50-int-42	0	135	4063	2014	20	3423251250	70551.953120	
skyline_new_york-edges-50-int-42	0	135	4063	2014	25	6951287308	94009.460950	
skyline_new_york-edges-50-int-42	0	135	4063	2014	30	7604081922	114293.661738	
skyline_new_york-edges-50-int-42	1	148	4810	2381	5	90737617	13166.956874	
skyline_new_york-edges-50-int-42	1	148	4810	2381	10	256612461	28899.167490	
skyline_new_york-edges-50-int-42	1	148	4810	2381	15	2245131209	49375.372721	
skyline_new_york-edges-50-int-42	1	148	4810	2381	20	4866593889	65754.210317	
skyline_new_york-edges-50-int-42	1	148	4810	2381	25	10675292258	96265.321391	
skyline_new_york-edges-50-int-42	1	148	4810	2381	30	20571571490	121757.444595	
skyline_new_york-edges-50-int-42	2	172	6378	3153	5	164027964	15814.003775	
skyline_new_york-edges-50-int-42	2	172	6378	3153	10	1280311065	38832.475066	
skyline_new_york-edges-50-int-42	2	172	6378	3153	15	2637138758	60641.951938	
skyline_new_york-edges-50-int-42	2	172	6378	3153	20	4857430108	79724.462652	
skyline_new_york-edges-50-int-42	2	172	6378	3153	25	11786484672	103238.899593	
skyline_new_york-edges-50-int-42	2	172	6378	3153	30	21150485130	135010.177204	
ic_die26-color-50-int-42	0	135	4085	2025	5	44591357	3446.168292	
ic_die26-color-50-int-42	0	135	4085	2025	10	521966391	7717.859007	
ic_die26-color-50-int-42	0	135	4085	2025	15	948995908	11859.410874	
ic_die26-color-50-int-42	0	135	4085	2025	20	4231838589	17286.864166	
ic_die26-color-50-int-42	0	135	4085	2025	25	6682508416	22713.188497	
ic_die26-color-50-int-42	0	135	4085	2025	30	17345378998	28870.438511	
ic_die26-color-50-int-42	1	148	4640	2296	5	52697168	3446.168292	
ic_die26-color-50-int-42	1	148	4640	2296	10	225351787	7756.517142	
ic_die26-color-50-int-42	1	148	4640	2296	15	2547702252	13225.574367	
ic_die26-color-50-int-42	1	148	4640	2296	20	1753644268	18085.837981	
ic_die26-color-50-int-42	1	148	4640	2296	25	4055514277	23381.242536	
ic_die26-color-50-int-42	1	148	4640	2296	30	11179954936	29795.468959	
ic_die26-color-50-int-42	2	172	6402	3165	5	138347433	4057.348150	
ic_die26-color-50-int-42	2	172	6402	3165	10	888527217	9639.774622	
ic_die26-color-50-int-42	2	172	6402	3165	15	2858977168	15043.353036	
ic_die26-color-50-int-42	2	172	6402	3165	20	5513621120	21690.888365	
ic_die26-color-50-int-42	2	172	6402	3165	25	17502266743	29082.175327	
ic_die26-color-50-int-42	2	172	6402	3165	30	10178732446	35703.144286	
ic_die05-darkness-50-int-42	0	135	4281	2123	5	53406321	2865.773311	
ic_die05-darkness-50-int-42	0	135	4281	2123	10	379995895	7077.792514	
ic_die05-darkness-50-int-42	0	135	4281	2123	15	1266533861	12237.913444	
ic_die05-darkness-50-int-42	0	135	4281	2123	20	6037709504	19106.922342	
ic_die05-darkness-50-int-42	0	135	4281	2123	25	10985349415	25484.380718	
ic_die05-darkness-50-int-42	0	135	4281	2123	30	11694461566	32594.847102	
ic_die05-darkness-50-int-42	1	148	4954	2453	5	36447146	2840.021963	
ic_die05-darkness-50-int-42	1	148	4954	2453	10	1153049210	8682.199912	
ic_die05-darkness-50-int-42	1	148	4954	2453	15	2678370886	13503.346800	
ic_die05-darkness-50-int-42	1	148	4954	2453	20	9999623217	19200.120495	
ic_die05-darkness-50-int-42	1	148	4954	2453	25	16279811561	26382.560541	
ic_die05-darkness-50-int-42	1	148	4954	2453	30	35822962718	34715.050714	
ic_die05-darkness-50-int-42	2	172	6720	3324	5	83411746	4129.818073	
ic_die05-darkness-50-int-42	2	172	6720	3324	10	687481078	8203.828222	
ic_die05-darkness-50-int-42	2	172	6720	3324	15	8085256423	15444.401389	
ic_die05-darkness-50-int-42	2	172	6720	3324	20	9141989062	21988.235736	
ic_die05-darkness-50-int-42	2	172	6720	3324	25	22198310888	30271.574601	
ic_die05-darkness-50-int-42	2	172	6720	3324	30	36426788008	38629.705866	
